identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,aliases
96fd40ae,A Nehra,A Nehra,iOQIhJAe1ei0JLJizCiKiIGOXyUbcJV,,,,,,31820.0,,,,7767.0,,,,,,,115.0,,Ashish Nehra
1399b39c,Anmolpreet Singh,Anmolpreet Singh,KzQJ1ehGACiO0cbOViiXiLIyJIiUJeJ,,,,,,851261.0,,,,,,,,,,,2965.0,,A Singh
acdc62f5,A Nortje,A Nortje,,,,,,,481979.0,,,,1037475.0,,57187.0,,,,,5433.0,,"Anrich Nortje, Nortje"
855a210c,AP Tare,AP Tare,iJXizCJUJiiQiA0yKObVce1eJhLIOIG,,,,,,333904.0,,,,,,,,,,,99.0,,"A Tare, Aditya Tare"
d7017798,A Raghuvanshi,A Raghuvanshi,,,,,,,1292495.0,,,,,,,,,,,,,
84d9c311,Ashutosh Sharma,Ashutosh Sharma,JbeIILJUJQGJiA0zeKicyOXihCViO1i,,,,,,1131978.0,,,,,,,,,,,,,
d45c29b1,Ashwani Kumar,Ashwani Kumar,,,,,,,1209126.0,,,,,,,,,,,,,
b0946605,AS Joseph,AS Joseph,,,,,,,670031.0,,,,1322652.0,,,,,,,3098.0,,"A Joseph, Alzarri Joseph, Joseph"
44aac2f0,Arjun Tendulkar,Arjun Tendulkar,0iGiOcIKzCh1AeIeJiJiVLUQibOJJXy,,,,,,1148776,,,,,,,,,,,,
bd77eb62,A Symonds,A Symonds,,,,,,,7702,,,,4374,,,,,,,206,Andrew Symonds
db31895a,AS Rajpoot,AS Rajpoot,ibe1CzIiXKOiQi0yeGJcVJhOJiLIJUA,,,,,,591650.0,,,,1047395.0,,,,,,,1106.0,,"A Rajpoot, Ankit Rajpoot, Rajpoot"
69d03465,AT Carey,AT Carey,,,8040.0,,,,326434.0,,,,159709.0,,,,,,,3882.0,,"A Carey, Alex Carey"
70d205c9,AT Rayudu,AT Rayudu,AiyXJUOhiJCJiJIceGOLQiVKzb1eI0i,,,,,,33141.0,,,,8931.0,,,,,,,100.0,,"A Rayudu, A T Rayudu"
249d60c9,AU Rashid,AU Rashid,,,,,,,244497.0,,,,88341.0,,,,,,,796.0,,"A Rashid, Adil Rashid, Rashid"
eef2536f,Avesh Khan,Avesh Khan,ciiJiIJiLhJbAz1OI0JyKVUeXeOGQCi,,,,,,694211.0,,,,1177686.0,,,,,,,1561.0,,"A Khan, Aavesh Khan"
fbd4f01f,AY Patel,AY Patel,,,,,,,595783.0,,,,1004641.0,,,4e7ae44d-93ec-4e6c-b351-bd9ae4d2dbf4,,,,4599.0,,"A Patel, Ajaz Patel, Patel"
14f96089,A Zampa,A Zampa,,,5955.0,,,,379504.0,,,,391128.0,,,,,,,958.0,,Adam Zampa
211de69f,Azhar Ali,Azhar Ali,,,,,,,39037.0,,,13076.0,11321.0,,,,,,,985.0,,
8f6dd463,Azmatullah Omarzai,Azmatullah Omarzai,,,,,,,819429.0,,,,,,,,,,,4823.0,,A Omarzai
8a75e999,Babar Azam,Babar Azam,,,,,,,348144.0,,,13099.0,166944.0,,,,,,,2759.0,,B Azam
871e9faf,Basil Thampi,Basil Thampi,iiICUQKhAJyb1iVGJIiOzL0eXJeciJO,,,,,,732291.0,,,,1389503.0,,,,,,,3825.0,,"B Thampi, Thampi"
e087956b,BA Stokes,BA Stokes,,,,,,,311158.0,,,11241.0,180612.0,,,,,,,1154.0,,"B Stokes, Ben Stokes"
ea0cdc12,BAW Mendis,BAW Mendis,,,,,,,268739.0,,,,142472.0,,,,,,,358.0,,"A Mendis, Ajantha Mendis"
b8a55852,BB McCullum,BB McCullum,,,,,,,37737.0,,,,10263.0,,,5d52b90b-dbd2-4f38-9033-3ce0009b9e6e,,,,202.0,,"B McCullum, Brendon McCullum"
2e11c706,BCJ Cutting,BCJ Cutting,,,5199.0,,,,230371.0,,,13493.0,97657.0,,,,,,,913.0,,"B Cutting, Ben Cutting, Cutting"
d5403021,BC Lara,BC Lara,,,,,,,52337.0,,,,1981.0,,,,,,,2461.0,,"B Lara, Brian Lara"
b0c772ee,BJ Haddin,BJ Haddin,,,,,,,5560.0,,,,6409.0,,,,,,,195.0,,"B Haddin, Brad Haddin"
b57f8a9a,BJ Hodge,BJ Hodge,,,,,,,5674.0,,,,6237.0,,,,,,,229.0,,"B Hodge, Bradley Hodge"
928670cc,BJ Watling,BJ Watling,,,,,,,38924.0,,,,62494.0,,,657dec2c-5fc1-4ee1-9205-e307404c37a2,,,,439.0,,B J Watling
56b93d46,BJ Webster,BJ Webster,,,7432.0,,,,381329.0,,,,397115.0,,,,,,,,,Beau Webster
5d1e7582,BKG Mendis,BKG Mendis,,,,,,,629074.0,,,,1333287.0,,,,,,,1670.0,,Kusal Mendis
2e81a32d,B Kumar,B Kumar,yJUcXziCJOGLbJeViK1IiihIQOJie0A,,,,,,326016.0,,,,243427.0,,,,,,,116.0,,Bhuvneshwar Kumar
ddc9bee7,BKV Prasad,BKV Prasad,,,,,,,32345.0,,,,2136.0,,,,,,,,,Venkatesh Prasad
b2a79f17,B Laughlin,B Laughlin,,,4298.0,,,,315623.0,,,,140646.0,,,,,,,921.0,,"Ben Laughlin, Laughlin"
dd09ff8e,B Lee,B Lee,,,,,,,6278.0,,,,5951.0,,,,,,,196.0,,Brett Lee
5f26f677,BM Duckett,BM Duckett,,,,,,,521637.0,,,,438947.0,,,,,,,1542.0,,"B Duckett, Ben Duckett"
449f4e3c,B Muzarabani,B Muzarabani,,,,,,,827051.0,,,,2174107.0,,,,,,,4590.0,,"Blessing Muzarabani, Muzarabani"
b78cb3aa,BS Bedi,BS Bedi,,,,,,,26875.0,,,,1290.0,,,,,,,,,"Bishan Bedi, Bishen Bedi"
6834d1f2,B Stanlake,B Stanlake,,,7073.0,,,,533042.0,,,,1073273.0,,,,,,,1521.0,,Billy Stanlake
fd770945,BT Foakes,BT Foakes,,,,,,,364788.0,,,,338546.0,,,,,,,3641.0,,"B Foakes, Ben Foakes"
c995d726,CA Ingram,CA Ingram,,,4876.0,,,,45705.0,,,13533.0,70877.0,,,,,,,168.0,,"C Ingram, Colin Ingram"
80d30c5f,Cai Yuzhi,Cai Yuzhi,,,,,,,1453564.0,,,,,,,,,,,,,
c56819b2,CAJ Brodrick,CAJ Brodrick,,,,,,,643425.0,,,,,,,,,,,,,
eddf25bd,CAJ Meschede,CAJ Meschede,,,,,,,362565.0,,,,,,,,,,,,,
5db1c288,CAJ Morris,CAJ Morris,,,,,,,522898.0,,,,1131609.0,,,,,,,3594.0,,C Morris
4f91427c,Cakacaka Cokovaki,Cakacaka Cokovaki,,,,,,,647743.0,,,,,,,,,,,,,
5b9b8d98,CA Keita,CA Keita,,,,,,,1345179.0,,,,,,,,,,,,,
8012d0b8,CAK Rajitha,CAK Rajitha,,,,,,,499594.0,,,,1073319.0,,,,,,,3154.0,,"K Rajitha, Kasun Rajitha, Rajitha"
bbff906c,CAK Walton,CAK Walton,,,,,,,315586.0,,,12299.0,109317.0,,,,,,,1311.0,,"C Walton, Chadwick Walton"
6faa48b1,CAL Davis,CAL Davis,,,,,,,457281.0,,,,,,,,,,,,,
03850014,C Alfred,C Alfred,,,,,,,51198.0,,,,,,,,,,,,,Colin Alfred
eea27fb2,CA Liyanage,CA Liyanage,,,,,,,1190214.0,,,,2291090.0,,,,,,,,,
5a42a396,Callum Taylor,Callum Taylor,,,,,,,1096822.0,,,,2043936.0,,,,,,,2948.0,,"C Taylor, CZ Taylor"
45eda7c8,CA Lynn,CA Lynn,,,5075.0,,,,326637.0,,,14142.0,158662.0,,,,,,,179.0,,"C Lynn, Chris Lynn"
a8fd2b20,CA McElwee,CA McElwee,,,,,,,250778.0,,,,,,,,,,,,,
c41cca6a,CA McWatt,CA McWatt,,,,,,,52432.0,,,,982.0,,,,,,,,,Clifford McWatt
e94e4d8d,CA Merry,CA Merry,,,,,,,52434.0,,,,615.0,,,,,,,,,Cyril Merry
dfe8ddeb,Camila Valdes,Camila Valdes,,,,,15781154.0,,1203253.0,,,,,,,,,,,,,Camila Oyarce Vildosola
884254e2,CA Milton,CA Milton,,,,,,,17037.0,,,,1078.0,,,,,,,,,Arthur Milton
543b2173,CA Moses,CA Moses,,,,,,,,,,,,,,,,,,,,
8e91ae82,C Anayo,C Anayo,,,,,,,1189311.0,,,,,,,,,,,,,
32866fe7,CA Philipson,CA Philipson,,,,,,,7173.0,,,,,,,,,,,,,
a68ad345,Capil Rampersad,Capil Rampersad,,,,,,,52831.0,,,,,,,,,,,,,
26a360d2,CA Polosak,CA Polosak,,,,,,,788811.0,,,,,,,,,,,,,
c06ae98e,C Appel,C Appel,,,,,,,885373.0,,,,,,,,,,,,,
d4f9dbd4,CA Pujara,CA Pujara,UCicVJJX0IGQiObeKJ1IOLeiAizhyiJ,,,,,,32540.0,,,,17473.0,,,,,,,156.0,,"C Pujara, Cheteshwar Pujara"
c3a8bc99,C Archibald,C Archibald,,,,,,,914577.0,,,,1132163.0,,,,,,,,,CK Archibald
20af5f5f,CAR Cooper,CAR Cooper,,,,,,,1370329.0,,,,,,,,,,,,,
f1b721b9,CAR Duckworth,CAR Duckworth,,,,,,,44727.0,,,,1050.0,,,,,,,,,"Chris Duckworth, Christopher Duckworth"
6b062b4b,CA Reid,CA Reid,,,,,,,25872.0,,,,,,,,,,,,,
7112662b,Carl Cachopa,Carl Cachopa,,,,,,,36822.0,,,,,,,03a22950-eea1-4529-bdc5-b9b9f8472071,,,,,,
ebd113a0,CA Roach,CA Roach,,,,,,,52815.0,,,,483.0,,,,,,,,,Clifford Roach
7517d134,CA Rose,CA Rose,,,5943.0,,,,288285.0,,,,113534.0,,,,,,,,,"Clive Rose, Rose"
1a2a130b,CA Saville,CA Saville,,,,,,,20600.0,,,,,,,,,,,,,Clifford Saville
9f3cc93a,CA Small,CA Small,,,,,,,267945.0,,,,,,,,,,,,,
d3b7bc66,CA Smith,CA Smith,,,,,,,20230.0,,,,126.0,,,,,,,,,Aubrey Smith
f3a0c43f,CA Snedden,CA Snedden,,,,,,,38397.0,,,,769.0,,,,,,,,,Colin Snedden
9920dd86,CA Soper,CA Soper,,,,,,,574287.0,,,,,,,,,,,2801.0,,C Soper
789fd884,CA Thyssen,CA Thyssen,,,,,,,47662.0,,,,,,,,,,,,,
81271b06,C Atkins,C Atkins,,,,,,,55188.0,,,,,,,,,,,,,
4332744d,CA Vidler,CA Vidler,,,,,,,1357426.0,,,,,,,,,,,,,
c5e415aa,CA Wakim,CA Wakim,,,,,,,627623.0,,,,,,,,,,,,,
4bc2e8bd,CA Walsh,CA Walsh,,,,,,,53216.0,,,,1764.0,,,,,,,,,Courtney Walsh
01c1b96c,C Aweko,C Aweko,,,,,,,383879.0,,,,,,,,,,,,,CA Numungu
682e9514,CA Wiles,CA Wiles,,,,,,,53226.0,,,,619.0,,,,,,,,,"Archie Wiles, Charles Wiles"
a38c6037,CAW Jeffers,CAW Jeffers,,,,,,,1111480.0,,,,,,,,,,,,,
bd0a4a7d,CA Young,CA Young,,,,,,,364343.0,,,,130077.0,,,02f0c43d-13e7-4b27-af77-cbe440c7903b,,,,1757.0,,C Young
7213d757,C Bah,C Bah,,,,,,,1155538.0,,,,,,,,,,,,,
d28b53ea,C Bannerman,C Bannerman,,,,,,,4091.0,,,,1.0,,,,,,,,,Charles Bannerman
0fa92a21,C Bayraktar,C Bayraktar,,,,,,,1323436.0,,,,,,,,,,,,,
f53e7141,CB Clarke,CB Clarke,,,,,,,51475.0,,,,724.0,,,,,,,,,"Bertie Clarke, Carlos Clarke"
6755cd5c,CB Cooke,CB Cooke,,,,,,,386774.0,,,,414508.0,,,,,,,3580.0,,C Cooke
2cb0acf4,C Beckford,C Beckford,,,,,,,538602.0,,,,,,,,,,,,,
1508c1ee,C Bekker,C Bekker,,,,,,,1302912.0,,,,,,,,,,,,,
01568bbc,CB Fry,CB Fry,,,,,,,12930.0,,,,187.0,,,,,,,,,"C.B. Fry, Charles Fry"
d5ac41d8,CB Gaffaney,CB Gaffaney,,,,,,,37097.0,,,,,,,,,,,,,
85ba5659,C Bisson,C Bisson,,,,,,,417385.0,,,,,,,,,,,,,
a80ad5d7,CB Jennings,CB Jennings,,,,,,,6023.0,,,,349.0,,,,,,,,,Claude Jennings
e029cdfd,CB Keegan,CB Keegan,,,,,,,16110.0,,,,,,,,,,,,,
75b42f71,C Black,C Black,,,,,,,805411.0,1080732.0,,,,,,,,,,,,Cory Black
8ebdd5e8,C Blackadder,C Blackadder,,,,,,,651205.0,,,,,,,,,,,,,
1cb64b3c,CB Lambert,CB Lambert,,,,,,,25635.0,,,,1994.0,,,,,,,,,Clayton Lambert
d7d1e48e,CB Llewellyn,CB Llewellyn,,,,,,,45996.0,,,,202.0,,,,,,,,,"Charles Llewellyn, Charlie Llewellyn"
d0c55806,C Blythe,C Blythe,,,,,,,9134.0,,,,251.0,,,,,,,,,Colin Blythe
49691d7a,CB Mpofu,CB Mpofu,,,,,,,55633.0,,,,62021.0,,,,,,,537.0,,"C Mpofu, Chris Mpofu, Mpofu"
34faa3ac,CB Neale,CB Neale,,,12220.0,,,,1164564.0,,,,2251967.0,,,,,,,,,"Courtney Neale, Neale"
ecdfdd3c,C Bogdanos,C Bogdanos,,,,,,,1323410.0,,,,,,,,,,,,,
b3179e21,CB Ondoa,CB Ondoa,,,,,,,1286506.0,,,,,,,,,,,,,
172dff15,C Bosch,C Bosch,,,,,,,594322.0,,,,1373093.0,,48789.0,,,,,1666.0,,Corbin Bosch
11374353,C Boyle,C Boyle,,,,,,,1453239.0,,,,,,,,,,,,,
c945df30,CB Paul,CB Paul,,,,,,,1410575.0,,,,,,,249547c2-a16e-4d1e-9717-cbbb85ccee03,,,,,,
